player_shooting_stats_id,player_id,team_id,league_id,season_id,player_shooting_FK,player_shooting_G/Sh_new,player_shooting_Gls,player_shooting_G/SoT_new,player_shooting_PK,player_shooting_Sh,player_shooting_Sh/90_new,player_shooting_SoT,player_shooting_SoT/90_new,player_shooting_SoT%
2185,2819,PL_CHE_6,PL_1,1,0,0.12,4,0.25,0,33,1.58,16,0.77,0.48
2185,2819,PL_CHE_6,PL_1,1,0,0.12,4,0.25,0,33,1.64,16,0.8,0.48
2185,2819,PL_CHE_6,PL_1,1,0,0.12,4,0.25,0,33,19.53,16,9.47,0.48
2186,2825,L1_REI_17,L1_1,1,1,0,0,0,0,14,1.93,3,0.41,0.21
2186,2825,L1_REI_17,L1_1,1,1,0,0,0,0,14,5.79,3,1.24,0.21
2186,2825,L1_REI_17,L1_1,1,1,0,0,0,0,14,15.73,3,3.37,0.21
2187,2825,L1_REI_17,L1_1,1,1,0,0,0,0,14,1.93,3,0.41,0.21
2187,2825,L1_REI_17,L1_1,1,1,0,0,0,0,14,5.79,3,1.24,0.21
2187,2825,L1_REI_17,L1_1,1,1,0,0,0,0,14,15.73,3,3.37,0.21
2188,2826,SA_NAP_13,SA_1,1,0,0,0,0,0,11,0.41,2,0.07,0.18
2188,2826,SA_NAP_13,SA_1,1,0,0,0,0,0,11,0.45,2,0.08,0.18
2188,2826,SA_NAP_13,SA_1,1,0,0,0,0,0,11,55,2,10,0.18
2189,2827,L1_NAN_13,L1_1,1,0,0.17,3,0.75,1,18,1.65,4,0.37,0.22
2189,2827,L1_NAN_13,L1_1,1,0,0.17,3,0.75,1,18,1.91,4,0.42,0.22
2190,2828,PL_LEE_24,PL_1,1,3,0.07,1,0.2,0,15,0.56,5,0.19,0.33
2190,2828,PL_LEE_24,PL_1,1,3,0.07,1,0.2,0,15,0.85,5,0.28,0.33
2190,2828,PL_LEE_24,PL_1,1,3,0.07,1,0.2,0,15,1.09,5,0.36,0.33
2190,2828,PL_LEE_24,PL_1,1,3,0.07,1,0.2,0,15,4.37,5,1.46,0.33
2190,2828,PL_LEE_24,PL_1,1,3,0.07,1,0.2,0,15,4.5,5,1.5,0.33
2190,2828,PL_LEE_24,PL_1,1,3,0.07,1,0.2,0,15,14.56,5,4.85,0.33
2191,2831,SA_BEE_2,SA_1,1,0,0.07,2,0.18181818181818182,0,29,0.81,11,0.31,0.38
2192,2833,PL_WES_27,PL_1,1,0,0,0,NaN,0,3,1.83,0,0,0
2193,2841,L1_NÎM_15,L1_1,1,0,0,0,0,0,8,2.45,2,0.61,0.25
2194,2843,BL_LEV_12,BL_1,1,0,0,0,0,0,28,3.16,8,0.9,0.29
2194,2843,BL_LEV_12,BL_1,1,0,0,0,0,0,28,3.69,8,1.05,0.29
2194,2843,BL_LEV_12,BL_1,1,0,0,0,0,0,28,29.79,8,8.51,0.29
2195,2844,LL_RMA_15,LL_1,1,6,0.19,23,0.4423076923076923,1,122,3.79,52,1.62,0.43
2195,2844,LL_RMA_15,LL_1,1,6,0.19,23,0.4423076923076923,1,122,4.23,52,1.8,0.43
2195,2844,LL_RMA_15,LL_1,1,6,0.19,23,0.4423076923076923,1,122,5.39,52,2.3,0.43
2196,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,1.91,20,0.71,0.37
2196,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,2.06,20,0.76,0.37
2196,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,2.64,20,0.98,0.37
2196,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,3.25,20,1.21,0.37
2196,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,44.26,20,16.39,0.37
2197,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,1.91,20,0.71,0.37
2197,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,2.06,20,0.76,0.37
2197,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,2.64,20,0.98,0.37
2197,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,3.25,20,1.21,0.37
2197,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,44.26,20,16.39,0.37
2198,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,1.91,20,0.71,0.37
2198,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,2.06,20,0.76,0.37
2198,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,2.64,20,0.98,0.37
2198,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,3.25,20,1.21,0.37
2198,2845,BL_MAI_13,BL_1,1,0,0.07,4,0.2,0,54,44.26,20,16.39,0.37
2199,2846,LL_SEV_17,LL_1,1,0,0,0,NaN,0,2,0.15,0,0,0
2199,2846,LL_SEV_17,LL_1,1,0,0,0,NaN,0,2,0.16,0,0,0
2199,2846,LL_SEV_17,LL_1,1,0,0,0,NaN,0,2,0.28,0,0,0
2200,2848,PL_NEW_15,PL_1,1,0,NaN,0,NaN,0,0,0,0,0,NaN
2201,2851,L1_LYO_8,L1_1,1,0,0.16,14,0.358974358974359,0,90,2.88,39,1.25,0.43
2201,2851,L1_LYO_8,L1_1,1,0,0.16,14,0.358974358974359,0,90,3.53,39,1.53,0.43
2201,2851,L1_LYO_8,L1_1,1,0,0.16,14,0.358974358974359,0,90,5.99,39,2.59,0.43
2201,2851,L1_LYO_8,L1_1,1,0,0.16,14,0.358974358974359,0,90,8.33,39,3.61,0.43
2202,2851,L1_LYO_8,L1_1,1,0,0.16,14,0.358974358974359,0,90,2.88,39,1.25,0.43
2202,2851,L1_LYO_8,L1_1,1,0,0.16,14,0.358974358974359,0,90,3.53,39,1.53,0.43
2202,2851,L1_LYO_8,L1_1,1,0,0.16,14,0.358974358974359,0,90,5.99,39,2.59,0.43
2202,2851,L1_LYO_8,L1_1,1,0,0.16,14,0.358974358974359,0,90,8.33,39,3.61,0.43
2203,2852,PL_WES_27,PL_1,1,1,0.06,1,0.1111111111111111,0,16,1.28,9,0.72,0.56
2204,2854,SA_SAP_16,SA_1,1,0,NaN,0,NaN,0,0,0,0,0,NaN
2205,2857,SA_TOR_19,SA_1,1,0,0.14,1,0.3333333333333333,0,7,0.33,3,0.14,0.43
2205,2857,SA_TOR_19,SA_1,1,0,0.14,1,0.3333333333333333,0,7,0.34,3,0.15,0.43
2205,2857,SA_TOR_19,SA_1,1,0,0.14,1,0.3333333333333333,0,7,0.7,3,0.3,0.43
2205,2857,SA_TOR_19,SA_1,1,0,0.14,1,0.3333333333333333,0,7,4.09,3,1.75,0.43
2206,2857,SA_TOR_19,SA_1,1,0,0.14,1,0.3333333333333333,0,7,0.33,3,0.14,0.43
